payment_id_a,payment_id_b,customer_id,order_id_a,order_id_b,amount_a,amount_b,created_at_a,created_at_b,status_a,status_b,method_a,method_b,time_gap_seconds,scenario,confidence_score,is_double_capture,refundable_amount
pay_900931,pay_900932,cust_00053,order_700816,order_700816,149999,149999,1787567474,1787567477,captured,captured,card,card,3,Double-Click Issue,99.5,True,149999
pay_901199,pay_901200,cust_00017,order_700950,order_700950,14999,14999,1787555879,1787555882,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,14999
pay_900761,pay_900762,cust_00053,order_700731,order_700731,9999,9999,1787684276,1787684278,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,9999
pay_900855,pay_900856,cust_00017,order_700778,order_700778,19999,19999,1787626136,1787626138,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,19999
pay_900731,pay_900732,cust_00054,order_700716,order_700716,12499,12499,1787576004,1787576005,captured,captured,card,card,1,Double-Click Issue,99.5,True,12499
pay_901161,pay_901162,cust_00018,order_700931,order_700931,299999,299999,1787570354,1787570356,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,299999
pay_900715,pay_900716,cust_00178,order_700708,order_700708,299999,299999,1787554016,1787554019,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,299999
pay_902243,pay_902244,cust_00035,order_701493,order_701494,7499,7499,1787649821,1787649826,captured,captured,wallet,wallet,5,Multiple Browser Tabs Checkout,99.5,True,7499
pay_900711,pay_900712,cust_00035,order_700706,order_700706,9999,9999,1787652271,1787652273,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,9999
pay_901171,pay_901172,cust_00035,order_700936,order_700936,99999,99999,1787667140,1787667142,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,99999
pay_900925,pay_900926,cust_00013,order_700813,order_700813,74999,74999,1787629829,1787629832,captured,captured,card,card,3,Double-Click Issue,99.5,True,74999
pay_900837,pay_900838,cust_00013,order_700769,order_700769,9999,9999,1787663550,1787663553,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,9999
pay_900895,pay_900896,cust_00054,order_700798,order_700798,199999,199999,1787615022,1787615023,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,199999
pay_900935,pay_900936,cust_00036,order_700818,order_700818,24999,24999,1787603843,1787603846,captured,captured,card,card,3,Double-Click Issue,99.5,True,24999
pay_902223,pay_902224,cust_00019,order_701473,order_701474,4999,4999,1787599922,1787599927,captured,captured,upi,upi,5,Multiple Browser Tabs Checkout,99.5,True,4999
pay_901175,pay_901176,cust_00045,order_700938,order_700938,99999,99999,1787660903,1787660904,captured,captured,card,card,1,Double-Click Issue,99.5,True,99999
pay_900743,pay_900744,cust_00019,order_700722,order_700722,19999,19999,1787668875,1787668876,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,19999
pay_900797,pay_900798,cust_00200,order_700749,order_700749,7499,7499,1787665341,1787665343,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,7499
pay_900991,pay_900992,cust_00020,order_700846,order_700846,199999,199999,1787570846,1787570848,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,199999
pay_901179,pay_901180,cust_00020,order_700940,order_700940,149999,149999,1787669597,1787669600,captured,captured,card,card,3,Double-Click Issue,99.5,True,149999
pay_900893,pay_900894,cust_00046,order_700797,order_700797,19999,19999,1787516255,1787516257,captured,captured,card,card,2,Double-Click Issue,99.5,True,19999
pay_900803,pay_900804,cust_00037,order_700752,order_700752,74999,74999,1787522142,1787522144,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,74999
pay_900963,pay_900964,cust_00188,order_700832,order_700832,7499,7499,1787656267,1787656268,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,7499
pay_901097,pay_901098,cust_00055,order_700899,order_700899,99999,99999,1787572649,1787572651,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,99999
pay_901151,pay_901152,cust_00065,order_700926,order_700926,12499,12499,1787546780,1787546783,captured,captured,card,card,3,Double-Click Issue,99.5,True,12499
pay_901081,pay_901082,cust_00048,order_700891,order_700891,9999,9999,1787580621,1787580623,captured,captured,card,card,2,Double-Click Issue,99.5,True,9999
pay_901123,pay_901124,cust_00065,order_700912,order_700912,49999,49999,1787614794,1787614795,captured,captured,card,card,1,Double-Click Issue,99.5,True,49999
pay_900929,pay_900930,cust_00032,order_700815,order_700815,49999,49999,1787597417,1787597418,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,49999
pay_901065,pay_901066,cust_00190,order_700883,order_700883,49999,49999,1787643730,1787643733,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,49999
pay_900759,pay_900760,cust_00023,order_700730,order_700730,14999,14999,1787549945,1787549946,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,14999
pay_900891,pay_900892,cust_00047,order_700796,order_700796,199999,199999,1787599695,1787599698,captured,captured,card,card,3,Double-Click Issue,99.5,True,199999
pay_900899,pay_900900,cust_00163,order_700800,order_700800,24999,24999,1787589576,1787589578,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,24999
pay_901021,pay_901022,cust_00049,order_700861,order_700861,7499,7499,1787552695,1787552696,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,7499
pay_900795,pay_900796,cust_00038,order_700748,order_700748,74999,74999,1787675268,1787675271,captured,captured,card,card,3,Double-Click Issue,99.5,True,74999
pay_901107,pay_901108,cust_00186,order_700904,order_700904,14999,14999,1787672920,1787672922,captured,captured,card,card,2,Double-Click Issue,99.5,True,14999
pay_901157,pay_901158,cust_00186,order_700929,order_700929,74999,74999,1787679867,1787679869,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,74999
pay_901181,pay_901182,cust_00162,order_700941,order_700941,4999,4999,1787648359,1787648360,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,4999
pay_900919,pay_900920,cust_00187,order_700810,order_700810,9999,9999,1787642289,1787642292,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,9999
pay_901033,pay_901034,cust_00188,order_700867,order_700867,249999,249999,1787533335,1787533338,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,249999
pay_901191,pay_901192,cust_00170,order_700946,order_700946,12499,12499,1787646286,1787646287,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,12499
pay_901043,pay_901044,cust_00081,order_700872,order_700872,149999,149999,1787550154,1787550157,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,149999
pay_900745,pay_900746,cust_00188,order_700723,order_700723,7499,7499,1787573839,1787573842,captured,captured,card,card,3,Double-Click Issue,99.5,True,7499
pay_901025,pay_901026,cust_00163,order_700863,order_700863,249999,249999,1787648868,1787648870,captured,captured,card,card,2,Double-Click Issue,99.5,True,249999
pay_901013,pay_901014,cust_00057,order_700857,order_700857,4999,4999,1787576809,1787576812,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,4999
pay_900951,pay_900952,cust_00066,order_700826,order_700826,99999,99999,1787594367,1787594369,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,99999
pay_900733,pay_900734,cust_00185,order_700717,order_700717,4999,4999,1787582131,1787582134,captured,captured,card,card,3,Double-Click Issue,99.5,True,4999
pay_900753,pay_900754,cust_00185,order_700727,order_700727,299999,299999,1787629592,1787629594,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,299999
pay_901085,pay_901086,cust_00066,order_700893,order_700893,4999,4999,1787596023,1787596024,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,4999
pay_900985,pay_900986,cust_00064,order_700843,order_700843,34999,34999,1787630130,1787630133,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,34999
pay_900905,pay_900906,cust_00049,order_700803,order_700803,4999,4999,1787623732,1787623733,captured,captured,card,card,1,Double-Click Issue,99.5,True,4999
pay_900869,pay_900870,cust_00057,order_700785,order_700785,99999,99999,1787672089,1787672092,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,99999
pay_901061,pay_901062,cust_00177,order_700881,order_700881,199999,199999,1787550692,1787550695,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,199999
pay_902449,pay_902450,cust_00025,order_701699,order_701700,49999,49999,1787657710,1787657715,captured,captured,netbanking,netbanking,5,Multiple Browser Tabs Checkout,99.5,True,49999
pay_900811,pay_900812,cust_00026,order_700756,order_700756,249999,249999,1787538663,1787538666,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,249999
pay_900933,pay_900934,cust_00026,order_700817,order_700817,99999,99999,1787623060,1787623063,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,99999
pay_901001,pay_901002,cust_00027,order_700851,order_700851,24999,24999,1787521633,1787521636,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,24999
pay_901099,pay_901100,cust_00056,order_700900,order_700900,199999,199999,1787687659,1787687662,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,199999
pay_900805,pay_900806,cust_00177,order_700753,order_700753,12499,12499,1787644306,1787644308,captured,captured,card,card,2,Double-Click Issue,99.5,True,12499
pay_900971,pay_900972,cust_00041,order_700836,order_700836,7499,7499,1787672901,1787672903,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,7499
pay_900939,pay_900940,cust_00051,order_700820,order_700820,74999,74999,1787649872,1787649875,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,74999
pay_900839,pay_900840,cust_00058,order_700770,order_700770,99999,99999,1787561939,1787561941,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,99999
pay_900917,pay_900918,cust_00043,order_700809,order_700809,299999,299999,1787518746,1787518747,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,299999
pay_900749,pay_900750,cust_00043,order_700725,order_700725,74999,74999,1787542588,1787542589,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,74999
pay_900907,pay_900908,cust_00058,order_700804,order_700804,149999,149999,1787569370,1787569371,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,149999
pay_900755,pay_900756,cust_00061,order_700728,order_700728,7499,7499,1787583334,1787583337,captured,captured,card,card,3,Double-Click Issue,99.5,True,7499
pay_901133,pay_901134,cust_00028,order_700917,order_700917,14999,14999,1787620255,1787620257,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,14999
pay_900877,pay_900878,cust_00168,order_700789,order_700789,7499,7499,1787576834,1787576837,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,7499
pay_901125,pay_901126,cust_00067,order_700913,order_700913,24999,24999,1787593395,1787593397,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,24999
pay_900953,pay_900954,cust_00068,order_700827,order_700827,34999,34999,1787532688,1787532689,captured,captured,card,card,1,Double-Click Issue,99.5,True,34999
pay_900765,pay_900766,cust_00068,order_700733,order_700733,7499,7499,1787547388,1787547390,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,7499
pay_901089,pay_901090,cust_00158,order_700895,order_700895,249999,249999,1787600208,1787600211,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,249999
pay_901103,pay_901104,cust_00158,order_700902,order_700902,299999,299999,1787681138,1787681141,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,299999
pay_900815,pay_900816,cust_00155,order_700758,order_700758,99999,99999,1787547916,1787547917,captured,captured,card,card,1,Double-Click Issue,99.5,True,99999
pay_900801,pay_900802,cust_00156,order_700751,order_700751,34999,34999,1787545197,1787545199,captured,captured,card,card,2,Double-Click Issue,99.5,True,34999
pay_900853,pay_900854,cust_00156,order_700777,order_700777,14999,14999,1787633707,1787633709,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,14999
pay_902255,pay_902256,cust_00157,order_701505,order_701506,7499,7499,1787575550,1787575555,captured,captured,netbanking,netbanking,5,Multiple Browser Tabs Checkout,99.5,True,7499
pay_900723,pay_900724,cust_00157,order_700712,order_700712,12499,12499,1787677301,1787677302,captured,captured,card,card,1,Double-Click Issue,99.5,True,12499
pay_900857,pay_900858,cust_00067,order_700779,order_700779,99999,99999,1787547989,1787547992,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,99999
pay_901035,pay_901036,cust_00154,order_700868,order_700868,74999,74999,1787602551,1787602553,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,74999
pay_901083,pay_901084,cust_00072,order_700892,order_700892,49999,49999,1787537916,1787537919,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,49999
pay_900993,pay_900994,cust_00072,order_700847,order_700847,4999,4999,1787610566,1787610568,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,4999
pay_901059,pay_901060,cust_00074,order_700880,order_700880,99999,99999,1787540744,1787540745,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,99999
pay_901155,pay_901156,cust_00075,order_700928,order_700928,99999,99999,1787558760,1787558761,captured,captured,card,card,1,Double-Click Issue,99.5,True,99999
pay_901015,pay_901016,cust_00075,order_700858,order_700858,49999,49999,1787636763,1787636764,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,49999
pay_901039,pay_901040,cust_00076,order_700870,order_700870,34999,34999,1787539318,1787539321,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,34999
pay_900881,pay_900882,cust_00076,order_700791,order_700791,34999,34999,1787596750,1787596753,captured,captured,card,card,3,Double-Click Issue,99.5,True,34999
pay_901031,pay_901032,cust_00150,order_700866,order_700866,34999,34999,1787634987,1787634988,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,34999
pay_900793,pay_900794,cust_00151,order_700747,order_700747,49999,49999,1787534884,1787534885,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,49999
pay_900833,pay_900834,cust_00151,order_700767,order_700767,49999,49999,1787574927,1787574929,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,49999
pay_900705,pay_900706,cust_00151,order_700703,order_700703,149999,149999,1787649251,1787649254,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,149999
pay_900883,pay_900884,cust_00150,order_700792,order_700792,74999,74999,1787597040,1787597041,captured,captured,card,card,1,Double-Click Issue,99.5,True,74999
pay_901079,pay_901080,cust_00076,order_700890,order_700890,34999,34999,1787685382,1787685383,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,34999
pay_900911,pay_900912,cust_00077,order_700806,order_700806,14999,14999,1787641210,1787641213,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,14999
pay_901141,pay_901142,cust_00077,order_700921,order_700921,99999,99999,1787680878,1787680879,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,99999
pay_901147,pay_901148,cust_00079,order_700924,order_700924,12499,12499,1787552029,1787552032,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,12499
pay_900879,pay_900880,cust_00079,order_700790,order_700790,24999,24999,1787579668,1787579671,captured,captured,netbanking,netbanking,3,Double-Click Issue,99.5,True,24999
pay_901053,pay_901054,cust_00074,order_700877,order_700877,299999,299999,1787655116,1787655119,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,299999
pay_901071,pay_901072,cust_00081,order_700886,order_700886,49999,49999,1787517681,1787517683,captured,captured,card,card,2,Double-Click Issue,99.5,True,49999
pay_900957,pay_900958,cust_00081,order_700829,order_700829,24999,24999,1787531857,1787531858,captured,captured,card,card,1,Double-Click Issue,99.5,True,24999
pay_900999,pay_901000,cust_00081,order_700850,order_700850,7499,7499,1787644218,1787644219,captured,captured,wallet,wallet,1,Double-Click Issue,99.5,True,7499
pay_900739,pay_900740,cust_00148,order_700720,order_700720,99999,99999,1787543548,1787543549,captured,captured,upi,upi,1,Double-Click Issue,99.5,True,99999
pay_900787,pay_900788,cust_00082,order_700744,order_700744,299999,299999,1787530479,1787530482,captured,captured,card,card,3,Double-Click Issue,99.5,True,299999
pay_901105,pay_901106,cust_00083,order_700903,order_700903,24999,24999,1787582120,1787582123,captured,captured,card,card,3,Double-Click Issue,99.5,True,24999
pay_900845,pay_900846,cust_00079,order_700773,order_700773,149999,149999,1787588675,1787588677,captured,captured,netbanking,netbanking,2,Double-Click Issue,99.5,True,149999
pay_900809,pay_900810,cust_00080,order_700755,order_700755,14999,14999,1787663744,1787663747,captured,captured,wallet,wallet,3,Double-Click Issue,99.5,True,14999
pay_900725,pay_900726,cust_00085,order_700713,order_700713,149999,149999,1787556567,1787556569,captured,captured,card,card,2,Double-Click Issue,99.5,True,149999
pay_900751,pay_900752,cust_00085,order_700726,order_700726,12499,12499,1787586164,1787586167,captured,captured,upi,upi,3,Double-Click Issue,99.5,True,12499
pay_901163,pay_901164,cust_00085,order_700932,order_700932,74999,74999,1787635270,1787635271,captured,captured,netbanking,netbanking,1,Double-Click Issue,99.5,True,74999
pay_901009,pay_901010,cust_00085,order_700855,order_700855,49999,49999,1787639279,1787639281,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,49999
pay_900701,pay_900702,cust_00085,order_700701,order_700701,299999,299999,1787654795,1787654797,captured,captured,upi,upi,2,Double-Click Issue,99.5,True,299999
pay_900961,pay_900962,cust_00085,order_700831,order_700831,19999,19999,1787680480,1787680482,captured,captured,wallet,wallet,2,Double-Click Issue,99.5,True,19999
